unit,yr,quarter,cum_tests_orig,new_tests_orig,new_cases_orig,new_deaths_orig
CHE,2021,1,425577242,2536289,148828,2511
CHE,2021,2,661838175,2294002,101880,478
CHE,2021,3,868237353,2525653,137359,318
CHE,2021,4,1139705959,3435001,492252,1144
CHE,2022,1,1626353326,6502677,2164884,1391
CHE,2022,2,271452716,260312,71117,56
CHL,2020,1,172933,32096,2844,12
CHL,2020,2,37855501,1077696,276549,5676
CHL,2020,3,190965840,2212523,183598,7053
CHL,2020,4,446015894,3014624,145982,3867
CHL,2021,1,782764507,4872446,386565,6527
CHL,2021,2,1271787902,5736571,560364,9410
CHL,2021,3,1790106906,4863591,98362,4923
CHL,2021,4,2264652128,5552828,152230,1860
CHL,2022,1,2765521599,8138097,1664442,17465
CHL,2022,2,467018108,744193,44942,514
CHN,2020,1,13120000,320000,83238,3292
CHN,2020,2,656880000,89680000,4545,1332
CHN,2020,3,8280000000,0,7225,98
CHN,2020,4,8280000000,0,7035,43
CHN,2021,1,8100000000,0,7538,59
CHN,2021,2,8190000000,0,3468,6
CHN,2021,3,8280000000,0,6149,5
CHN,2021,4,8280000000,0,8170,0
CHN,2022,1,8100000000,0,1257599,7614
CHN,2022,2,1170000000,0,269982,1061
CIV,2020,1,0,0,179,1
CIV,2020,2,1382889,48340,9320,67
CIV,2020,3,9305254,77632,10225,52
CIV,2020,4,18614312,125279,2800,17
CIV,2021,1,33386634,263586,21399,107
CIV,2021,2,55942696,184241,4416,69
CIV,2021,3,77599812,312387,11948,311
CIV,2021,4,102914053,197338,10751,90
CIV,2022,1,123666377,261471,10737,82
CIV,2022,2,19210703,12677,93,1
CMR,2020,1,0,0,193,6
CMR,2020,2,1487540,80000,12399,307
CMR,2020,3,18104064,373441,8246,105
CMR,2020,4,52267511,205873,5439,30
CMR,2021,1,79550852,418060,21392,273
CMR,2021,2,137024129,674400,33189,603
CMR,2021,3,170189907,215013,11445,135
CMR,2021,4,199041188,343526,17064,392
CMR,2022,1,218488480,214357,10177,76
CMR,2022,2,32820710,0,236,0
COD,2020,1,0,0,98,8
COD,2020,2,618634,24657,6941,162
COD,2020,3,4343952,35435,3620,102
COD,2020,4,6432606,30276,6999,319
COD,2021,1,10398195,43165,10484,152
COD,2021,2,15578521,52162,12694,181
COD,2021,3,25756953,178930,16101,160
COD,2021,4,43594703,499572,17856,121
COD,2022,1,84387671,112203,11955,132
COD,2022,2,12757835,8573,0,0
COG,2020,1,0,0,19,0
COG,2020,2,282872,11790,1068,37
COG,2020,3,2265522,24142,4002,83
COG,2020,4,3864804,12242,2018,19
COG,2021,1,7904928,56299,2574,27
COG,2021,2,12714099,58516,2915,30
COG,2021,3,18154531,68157,1648,28
COG,2021,4,24615904,77919,5845,174
COG,2022,1,30335770,57801,3982,18
COG,2022,2,4769258,0,8,0
COL,2020,1,114665,13803,906,16
COL,2020,2,22952333,729634,96940,3318
COL,2020,3,189221606,2580723,731833,22664
COL,2020,4,425472448,2428339,813096,17215
COL,2021,1,809031725,6859503,763602,20209
COL,2021,2,1446586757,7259899,1834605,43122
COL,2021,3,2124889422,5467660,716295,19755
COL,2021,4,2515805749,4161257,200163,3643
COL,2022,1,2910994691,4356751,927476,9679
COL,2022,2,442639677,212777,3703,108
COM,2020,1,0,0,0,0
COM,2020,2,21306,1173,303,7
COM,2020,3,181272,1852,176,0
COM,2020,4,502912,3202,344,3
COM,2021,1,560430,0,2873,136
COM,2021,2,566657,0,240,0
COM,2021,3,572884,0,205,1
COM,2021,4,572884,0,2374,10
COM,2022,1,560430,0,1571,4
COM,2022,2,80951,0,14,0
CPV,2020,1,0,0,6,1
CPV,2020,2,636299,22665,1221,14
CPV,2020,3,5218650,56292,4797,45
CPV,2020,4,8998337,28860,5816,53
CPV,2021,1,10975241,39761,5630,55
CPV,2021,2,18363506,97248,14987,118
CPV,2021,3,27408555,101863,5119,53
CPV,2021,4,33935706,47864,4156,14
CPV,2022,1,40465002,76640,14220,49
CPV,2022,2,6149608,3170,22,0
CRI,2020,1,33057,3694,347,2
CRI,2020,2,1841542,37383,3112,14
CRI,2020,3,11062173,185204,72301,888
CRI,2020,4,32398345,211027,93561,1281
CRI,2021,1,57030552,371265,47443,772
CRI,2021,2,100721467,666898,151174,1710
CRI,2021,3,176146281,881903,164247,1719
CRI,2021,4,246972721,629612,38371,967
CRI,2022,1,318829356,1063154,267981,947
CRI,2022,2,53385146,110189,6355,57
CUB,2020,1,8952,2322,186,6
CUB,2020,2,7216628,170528,2155,80
CUB,2020,3,32103262,443203,3256,37
CUB,2020,4,89776399,647760,6266,24
CUB,2021,1,190449638,1681677,63400,278
CUB,2021,2,360845023,2169653,115730,860
CUB,2021,3,669032792,4157957,686435,6152
CUB,2021,4,989861342,2376814,88576,886
CUB,2022,1,1149181622,1794200,124281,188
CUB,2022,2,175673840,121272,7390,9
CYP,2020,1,0,0,230,7
CYP,2020,2,5994177,158039,766,12
CYP,2020,3,23597620,224370,747,3
CYP,2020,4,49994686,283714,20603,98
CYP,2021,1,147703182,2703803,23759,137
CYP,2021,2,525226489,4758944,30447,118
CYP,2021,3,803372344,636345,43591,177
CYP,2021,4,806399780,0,46684,86
CYP,2022,1,788869350,0,263899,302
CYP,2022,2,113947795,0,30805,47
CZE,2020,1,381753,48811,3308,31
CZE,2020,2,30083503,502190,8646,323
CZE,2020,3,77149852,814606,58809,315
CZE,2020,4,242852455,2306239,647898,10925
CZE,2021,1,505064513,8812433,815885,14841
CZE,2021,2,1933511488,16752612,134955,3882
CZE,2021,3,3156262168,8896889,24202,172
CZE,2021,4,3896269412,8789879,785336,5670
CZE,2022,1,4607153539,7757329,1346306,3563
CZE,2022,2,712896469,281046,50487,241
DEU,2020,1,3321370,348619,61913,583
DEU,2020,2,284405395,5064036,132346,8391
DEU,2020,3,921601143,11586598,94960,522
DEU,2020,4,2278684850,17802340,1430518,23583
DEU,2021,1,3589689711,15597584,1089136,43271
DEU,2021,2,5225634169,13413991,919268,14533
DEU,2021,3,6346410124,9535733,499360,2763
DEU,2021,4,7537908964,16273317,2922921,18287
DEU,2022,1,9379416079,30748624,14206673,17783
DEU,2022,2,1582474824,1961542,1660040,2683
DJI,2020,1,0,0,30,0
DJI,2020,2,1748839,46108,4652,54
DJI,2020,3,5706677,30683,734,7
DJI,2020,4,7857666,22227,415,0
DJI,2021,1,9986453,30791,2171,9
DJI,2021,2,13978493,41952,3600,85
DJI,2021,3,18180272,45328,1209,12
DJI,2021,4,22138101,40907,845,22
DJI,2022,1,25067167,39374,1931,0
DJI,2022,2,3892672,3513,8,0
DMA,2020,1,0,0,12,0
DMA,2020,2,29528,820,6,0
DMA,2020,3,158741,2624,12,0
DMA,2020,4,445214,3174,58,0
DMA,2021,1,878820,5707,73,0
DMA,2021,2,1315103,6872,32,0
DMA,2021,3,3527169,50136,3288,20
DMA,2021,4,9073412,54908,3367,27
DMA,2022,1,11181690,0,5045,16
DMA,2022,2,1615133,0,122,0
DNK,2020,1,243050,24175,3039,90
DNK,2020,2,40358201,1029278,9929,521
DNK,2020,3,193673571,2806596,15511,45
DNK,2020,4,590113377,4894622,135637,648
DNK,2021,1,1415079374,16623853,69180,1122
DNK,2021,2,4045292733,43247914,63208,115
DNK,2021,3,7111117071,15015896,66047,123
DNK,2021,4,7866726266,22810380,450222,624
DNK,2022,1,9862640484,20331087,2294630,2466
DNK,2022,2,1649698750,237334,30869,234
DOM,2020,1,0,0,1109,51
DOM,2020,2,2361882,154129,31459,696
DOM,2020,3,29333548,323278,79641,1358
DOM,2020,4,59981625,388187,58576,309
DOM,2021,1,98524926,437910,81942,911
DOM,2021,2,131125843,408373,72494,497
DOM,2021,3,174663827,327684,33826,224
DOM,2021,4,187639612,0,59731,201
DOM,2022,1,183560490,0,159242,128
DOM,2022,2,26514293,0,606,0
DZA,2020,1,0,0,716,44
DZA,2020,2,836525,46396,13191,868
DZA,2020,3,9766875,110409,37623,824
DZA,2020,4,19662786,73748,48080,1020
DZA,2021,1,20749770,0,17582,337
DZA,2021,2,20980323,0,22434,623
DZA,2021,3,21210876,0,63733,2096
DZA,2021,4,21210876,0,15073,464
DZA,2022,1,20749770,0,47239,598
DZA,2022,2,2997189,0,59,0
ECU,2020,1,53940,7982,2240,75
ECU,2020,2,7685310,139230,57305,4452
ECU,2020,3,25847478,285107,88568,6828
ECU,2020,4,54553653,303895,75465,2679
ECU,2021,1,83386162,386293,116243,2813
ECU,2021,2,120753057,412385,129749,4713
ECU,2021,3,173119106,296167,51673,11224
ECU,2021,4,181296003,299719,39648,897
ECU,2022,1,216077481,334162,310472,1740
ECU,2022,2,32112210,0,5373,87
EGY,2020,1,175000,25000,710,46
EGY,2020,2,9460092,353456,67601,2907
EGY,2020,3,43454520,250509,34887,2977
EGY,2020,4,75813178,371035,34864,1701
EGY,2021,1,123989084,1522492,64069,4364
EGY,2021,2,253715898,481502,79151,4174
EGY,2021,3,314237450,788432,23242,1162
EGY,2021,4,464898976,1979201,81051,4421
EGY,2022,1,533152208,350660,119689,2665
EGY,2022,2,79589731,0,6713,105
ERI,2020,1,0,0,15,0
ERI,2020,2,172934,7943,188,0
ERI,2020,3,866625,4326,172,0
ERI,2020,4,1769294,11424,945,3
ERI,2021,1,2132370,0,1965,7
ERI,2021,2,2156063,0,2724,13
ERI,2021,3,2179756,0,713,19
ERI,2021,4,2179756,0,1289,34
ERI,2022,1,2132370,0,1717,27
ERI,2022,2,308009,0,4,0
ESH,2020,2,1331,124,0,0
ESH,2020,3,20366,122,0,0
ESH,2020,4,41350,-124,0,0
ESH,2021,1,13606,123,0,0
ESH,2021,2,109734,1292,0,0
ESH,2021,3,258221,2363,0,0
ESH,2021,4,362387,43,0,0
ESH,2022,1,354870,0,0,0
ESH,2022,2,51259,0,0,0
ESP,2020,1,4135000,355000,95923,8464
ESP,2020,2,207086699,5093984,163754,21809
ESP,2020,3,746605231,7275005,519917,3438
ESP,2020,4,1631002920,9936326,1159077,19046
ESP,2021,1,2674841355,13640268,1430435,24622
ESP,2021,2,3764111968,9956607,524607,5416
ESP,2021,3,4856804065,12124175,1150131,5540
ESP,2021,4,5687593461,4605492,1335737,2990
ESP,2022,1,5668817130,0,5213564,12987
ESP,2022,2,818829141,0,119178,886
EST,2020,1,89626,12401,745,4
EST,2020,2,6077752,94385,1244,65
EST,2020,3,13012421,106226,1382,1
EST,2020,4,35066845,400718,24619,165
EST,2021,1,76895735,530224,78434,673
EST,2021,2,122977978,382351,24640,367
EST,2021,3,156159478,392345,25193,88
EST,2021,4,205412500,603713,85151,575
EST,2022,1,264209913,720816,314896,530
EST,2022,2,42451262,41387,8909,39
ETH,2020,1,6243,1013,26,0
ETH,2020,2,7411488,249591,5820,103
ETH,2020,3,62579159,1015609,69522,1095
ETH,2020,4,142250962,510109,48896,725
ETH,2021,1,183163050,572549,82325,942
ETH,2021,2,240168620,496392,69585,1455
ETH,2021,3,287953909,618529,69500,1262
ETH,2021,4,347063549,608318,74668,1355
ETH,2022,1,396609120,581187,49416,560
ETH,2022,2,60903045,55103,350,12
FIN,2020,1,177490,22600,1672,51
FIN,2020,2,12561770,220475,5587,258
FIN,2020,3,49022144,795625,2980,20
FIN,2020,4,158355100,1330500,26183,263
FIN,2021,1,278480460,1596000,41621,290
FIN,2021,2,429748100,1456100,17966,102
FIN,2021,3,571518710,1740135,46101,134
