unit,yr,quarter,pop,cap_new_cases,cap_new_deaths,cap_new_tests
BHR,2021,4,1702,0.03665764058695652173913043478260869565,0,9.95898686984782608695652173913043478261
BHR,2022,1,1702,1.77233320276666666666666666666666666667,0.0004571408,10.74036427768888888888888888888888888889
BHR,2022,2,1702,0.35894422861538461538461538461538461538,0,2.728509446
BHS,2020,1,393,0.00036350414285714285714285714285714286,0,0
BHS,2020,2,393,0.00257249117582417582417582417582417582,0.00025165671428571428571428571428571429,0.05525263545054945054945054945054945055
BHS,2020,3,393,0.10374488330434782608695652173913043478,0.00207434452173913043478260869565217391,0.47278460002173913043478260869565217391
BHS,2020,4,393,0.1100232326739130434782608695652173913,0.00218497618478260869565217391304347826,0.86124018127173913043478260869565217391
BHS,2021,1,393,0.03285269995555555555555555555555555556,0.00039581562222222222222222222222222222,0.64696070148888888888888888888888888889
BHS,2021,2,393,0.09786651007692307692307692307692307692,0.00187344450549450549450549450549450549,0.920532394
BHS,2021,3,393,0.22889700190217391304347826086956521739,0.00771656168478260869565217391304347826,1.07423387539130434782608695652173913043
BHS,2021,4,393,0.0876756278260869565217391304347826087,0.00522734816304347826086956521739130435,1.0716893460760869565217391304347826087
BHS,2022,1,393,0.2654226746,0.00200735091111111111111111111111111111,1.22258976522222222222222222222222222222
BHS,2022,2,393,0.01879037,0,0.38872577807692307692307692307692307692
BIH,2020,1,3281,0.00121914678571428571428571428571428571,0.00002178571428571428571428571428571429,0.00343971782857142857142857142857142857
BIH,2020,2,3281,0.01248949163736263736263736263736263736,0.00058631373626373626373626373626373626,0.17456819318681318681318681318681318681
BIH,2020,3,3281,0.07582855181521739130434782608695652174,0.00216332829347826086956521739130434783,0.33617468161956521739130434782608695652
BIH,2020,4,3281,0.27541642920652173913043478260869565217,0.01051839972826086956521739130434782609,0.6045015438260869565217391304347826087
BIH,2021,1,3281,0.18341968916666666666666666666666666667,0.00805648691111111111111111111111111111,0.6714145416
BIH,2021,2,3281,0.13659397591208791208791208791208791209,0.01112969528571428571428571428571428571,0.60141138956043956043956043956043956044
